name,value
Development^Production Dept^Production Manager^Technical Skills^Digital Admin,1
Development^Production Dept^Production Manager^Technical Skills^Digital Networking,1
Development^Production Dept^Production Manager^Technical Skills^Digital Security,1
Development^Production Dept^Production Manager^Technical Skills^Digital continuity: knitting together tools & metrics,1
Development^Production Dept^Supervising Art Director,1
Development^Production Dept^Talent Director/Line Producer^Creative & Communicative Skills^Talent casting,1
Development^Production Dept^Talent Director/Line Producer^Creative & Communicative Skills^Aptitude and interests profiling,1
Development^Production Dept^Talent Director/Line Producer^Creative & Communicative Skills^Cross-training; branching out from home discipline,1
Development^Production Dept^Talent Director/Line Producer^Creative & Communicative Skills^Support for HR/Board to understand need for new roles,1
Development^Production Dept^Talent Director/Line Producer^Creative & Communicative Skills^Studio development skills,1
"Development^Production Dept^Talent Director/Line Producer^Creative & Communicative Skills^Talent dev: job design, talent acquisition",1
Development^Production Dept^Talent Director/Line Producer^Creative & Communicative Skills^Talent dev: Resource management,1
Development^Production Dept^Talent Director/Line Producer^Technical skills^Digital contention: eg competing for bandwidth at site,1
"Development^Production Dept^Talent Director/Line Producer^Technical skills^Digital continuity: ""digital knitting"" of tools and metrics",1
Development^Production Dept^Talent Director/Line Producer^Technical skills^Digital networking,1
Development^Production Dept^Talent Director/Line Producer^Technical skills^Digital security,1
Development^Production Dept^Talent Director/Line Producer^Technical skills^Digital auditing,1
Development^Production Dept^Technical R&D Researcher^Creative & Communicative Skills^Appetite for collaboration,1
Development^Production Dept^Technical R&D Researcher^Creative & Communicative Skills^Problem-solving & adaptability,1
Development^Production Dept^Technical R&D Researcher^Creative & Communicative Skills^Real-time trouble-shooting,1
Development^Production Dept^Technical R&D Researcher^Creative & Communicative Skills^Documentation,1
Development^Production Dept^Technical R&D Researcher^Technical skills^HDR workflow pipeline design,1
Development^Production Dept^Technical R&D Researcher^Technical skills^R&D: mobile device rendering experience,1
Development^Production Dept^Technical R&D Researcher^Technical skills^R&D: high end high fidelity pre-rendering experience,1
Development^Production Dept^Technical R&D Researcher^Technical skills^VP integration. On-set story interactions with LED walls,1
Development^Production Dept^Technical R&D Researcher^Technical skills^Shader code prototyping ,1
Development^Production Dept^Technical R&D Researcher^Technical skills^Plugin Design,1
Development^Production Dept^Technical R&D Researcher^Technical skills^Development of calibration methods,1
Development^Production Dept^Technical R&D Researcher^Technical skills^Hybrid techniques eg projection and LEDs,1
Pre-Production^Art Dept^Art Dept^Technical Skills^Art Dept Game Engine Skills^,1
Pre-Production^Art Dept (Pre-Prod)^Production Designer^Creative & Communicative Skills^Primary research,1
Pre-Production^Art Dept (Pre-Prod)^Production Designer^Creative & Communicative Skills^Design principles for VP & filmmaking,1
Pre-Production^Art Dept (Pre-Prod)^Production Designer^Creative & Communicative Skills^Colour theory,1
Pre-Production^Art Dept (Pre-Prod)^Production Designer^Creative & Communicative Skills^Style guide creation for VP,1
"Pre-Production^Art Dept (Pre-Prod)^Production Designer^Creative & Communicative Skills^Hand-drawn storyboards, animatics",1
Pre-Production^Art Dept (Pre-Prod)^Production Designer^Creative & Communicative Skills^Physical object placement,1
Pre-Production^Art Dept (Pre-Prod)^Production Designer^Technical Skills^3d modelling & rendering,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Creative & Communicative Skills^VP Supervision Skills,1
"Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Creative & Communicative Skills^VP Studios management, LED wall physical setup",1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Creative & Communicative Skills^LED wall setup,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Creative & Communicative Skills^Tech R&D,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Creative & Communicative Skills^VP Studios management,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Creative & Communicative Skills^VFX bidding & budgeting,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Creative & Communicative Skills^Workflow documentation,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Asset-Building & Optimisation Skills^,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Wall content oversight,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Oversee LED specs & setup,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Oversee Camera Tracking,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Video processing reqs,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Display technologies reqs,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Set extensions,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Retargeting,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Integration from Unreal,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^CG characters,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^VFX shots & handover,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^HDR workflow pipeline R&D,1
"Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Versioning: Perforce, SVN, Github",1
"Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Hybrid techniques, eg; projection",1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Video processing reqs,1
Pre-Production^Art Dept (Pre-Prod)^VP Lead / VP Supervisor (Pre-Prod)^Technical Skills^Display technologies reqs,1
Pre-Production^Art Dept (Pre-Prod)^VAD Technical Director (TD),1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Creative & Communicative Skills^Communication skills,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Creative & Communicative Skills^Appetite for collaboration,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Creative & Communicative Skills^Versatility & Responsiveness,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Creative & Communicative Skills^Adaptability,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Creative & Communicative Skills^Problem-solving,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Creative & Communicative Skills^Knowledge of film & moving image,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Technical Skills^Asset-Building Skills,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Technical Skills^Creating & preparing 3d real-time assets,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Technical Skills^Unreal: object placement,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Technical Skills^3D asset conversion repurposing,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Technical Skills^On-set Virtual Art Dept & Gaffer standby duties,1
Pre-Production^Virtual Art Dept (VAD)^VP Visual Artist^Technical Skills^Location photogrammetry,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Creative & Communicative Skills^Appetite for collaboration,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Creative & Communicative Skills^Problem-solving & adaptability,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Creative & Communicative Skills^Real-time trouble-shooting,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Creative & Communicative Skills^Documentation,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Unreal,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Custom tracking system,1
"Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Versioning: Perforce, SVN, Github, DeepMotion",1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Previsualisation,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Shot design,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Blocking virtual elements,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Final 3d asset creation,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Plugin creation,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Shader code prototyping,1
Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Virtual cinnematography,1
"Pre-Production^Virtual Art Dept (VAD)^UE Technical Artist^Technical Skills^Modelling:  Zbrush, 3DMax bridging to Unreal",1
Pre-Production^Virtual Art Dept (VAD)^VAD Technical Artist^Creative & Communicative Skills^Appetite for collaboration,1
Pre-Production^Virtual Art Dept (VAD)^VAD Technical Artist^Creative & Communicative Skills^Problem-solving & adaptability,1
Pre-Production^Virtual Art Dept (VAD)^VAD Technical Artist^Creative & Communicative Skills^Real-time trouble-shooting,1
Pre-Production^Virtual Art Dept (VAD)^VAD Technical Artist^Creative & Communicative Skills^Documentation,1
Pre-Production^Virtual Art Dept (VAD)^VAD Technical Artist^Technical Skills^Modelling,1
Pre-Production^Virtual Art Dept (VAD)^Stage Technical Director (TD),1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Creative & Communicative Skills^Appetite for collaboration,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Creative & Communicative Skills^Problem-solving & adaptability,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Creative & Communicative Skills^Real-time trouble-shooting,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Creative & Communicative Skills^Documentation,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Technical Skills^Environment,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Technical Skills^Optimisation,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Technical Skills^Layout,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Technical Skills^Physical simulation,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Technical Skills^Lighting,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Technical Skills^Colour,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Technical Skills^Camera moves- procedural,1
Pre-Production^VP Dept (Stage)^UE Stage Operator (Games engine)^Technical Skills^VR/AR authoring,1
Pre-Production^VP Dept (Stage)^Stage Technician (Hardware & tracking)^Creative & Communicative Skills^Appetite for collaboration,1
Pre-Production^VP Dept (Stage)^Stage Technician (Hardware & tracking)^Creative & Communicative Skills^Problem-solving & adaptability,1
Pre-Production^VP Dept (Stage)^Stage Technician (Hardware & tracking)^Creative & Communicative Skills^Real-time trouble-shooting,1
Pre-Production^VP Dept (Stage)^Stage Technician (Hardware & tracking)^Creative & Communicative Skills^Documentation,1
Pre-Production^VP Dept (Stage)^Stage Technician (Hardware & tracking)^Technical Skills^Coding & Engineering Skills^,1
Pre-Production^VP Dept (Stage)^Stage Technician (Hardware & tracking)^Technical Skills^Live compositing,1
Pre-Production^VP Dept (Stage)^Stage Technician (Hardware & tracking)^Technical Skills^Camera moves- keyframes,1
"Pre-Production^VP Dept (Stage)^Stage Technician (Hardware & tracking)^Technical Skills^Tracking systems: MoSys, Ncam, OptiTrack",1
"Pre-Production^VP Dept (Stage)^Stage Technician (Hardware & tracking)^Technical Skills^Scripting: MEL, Python, C#, Javascript, C++",1
Pre-Production^VP Dept (Stage)^Stage Technician (Hardware & tracking)^Technical Skills^DeepMotion- markerless MoCap via iPhone,1
Pre-Production^VP Dept (Stage)^Comp Technical Artist,1
Production^VP Dept (Stage)^Colour Technical Artist^Creative & Communicative Skills^Appetite for collaboration,1
Production^VP Dept (Stage)^Colour Technical Artist^Creative & Communicative Skills^Problem-solving & adaptability,1
Production^VP Dept (Stage)^Colour Technical Artist^Creative & Communicative Skills^Real-time trouble-shooting,1
Production^VP Dept (Stage)^Colour Technical Artist^Technical Skills^Real-time colour grading,1
Production^VP Dept (Stage)^Colour Technical Artist^Technical Skills^Virtual set colour correction,1
Production^VP Dept (Stage)^Colour Technical Artist^Technical Skills^Content loading,1
Production^VP Dept (Stage)^Colour Technical Artist^Technical Skills^Calibrate lighting,1
Production^VP Dept (Stage)^Video Playback Operator,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Creative & Communicative Skills^Set foreground design,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Creative & Communicative Skills^Physical & virtual prop doubling,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Creative & Communicative Skills^Scene blocking,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Creative & Communicative Skills^Location scouting,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Creative & Communicative Skills^Communication skills,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Creative & Communicative Skills^Appetite for collaboration,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Creative & Communicative Skills^Versatility & Responsiveness,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Creative & Communicative Skills^The matte line: LED wall blending,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Creative & Communicative Skills^Set dressing & location enhancement,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Technical Skills^Virtual set dressing,1
Production^Art Dept (Stage)^Art Dept Physical Standby ^Technical Skills^Costumes with sculpting & VR,1
Production^Camera Dept^Focus Puller,1
Production^Camera Dept^1st Assistant Camera,1
Production^Camera Dept^Director of Cinematography (DoP)^Creative & Communicative Skills^Appetite for collaboration,1
Production^Camera Dept^Director of Cinematography (DoP)^Creative & Communicative Skills^Problem-solving & adaptability,1
Production^Camera Dept^Director of Cinematography (DoP)^Creative & Communicative Skills^Real-time trouble-shooting,1
Production^Camera Dept^Director of Cinematography (DoP)^Creative & Communicative Skills^Documentation,1
Production^Camera Dept^Director of Cinematography (DoP)^Technical Skills^Colour & light-metering management,1
Production^Camera Dept^Director of Cinematography (DoP)^Technical Skills^LED as light source,1
Production^Camera Dept^Director of Cinematography (DoP)^Technical Skills^Green Screen,1
Production^Camera Dept^Director of Cinematography (DoP)^Technical Skills^Ncam,1
Production^Camera Dept^Director of Cinematography (DoP)^Technical Skills^Brompton,1
Production^Camera Dept^Director of Cinematography (DoP)^Technical Skills^Nuke,1
Production^Camera Dept^Operating Gaffer^Creative & Communicative Skills^Appetite for collaboration,1
Production^Camera Dept^Operating Gaffer^Creative & Communicative Skills^Problem-solving & adaptability,1
Production^Camera Dept^Operating Gaffer^Creative & Communicative Skills^Real-time trouble-shooting,1
Production^Camera Dept^Operating Gaffer^Creative & Communicative Skills^Documentation,1
Production^Camera Dept^Operating Gaffer^Technical Skills^LED as light source,1
Production^Camera Dept^Operating Gaffer^Technical Skills^Lighting software,1
Production^Camera Dept^Operating Gaffer^Technical Skills^Green screen,1
Production^Camera Dept^Operating Gaffer^Technical Skills^Patches,1
Production^Camera Dept^Light Desk Operative,1
Production^Camera Dept^Grip,1
Production^On-set VFX Dept^Hardware Supervisor ^Creative & Communicative Skills^Appetite for collaboration,1
Production^On-set VFX Dept^Hardware Supervisor^Creative & Communicative Skills^Problem-solving & adaptability,1
Production^On-set VFX Dept^Hardware Supervisor^Creative & Communicative Skills^Real-time trouble-shooting,1
Production^On-set VFX Dept^Hardware Supervisor^Creative & Communicative Skills^Documentation,1
Production^On-set VFX Dept^Hardware Supervisor^Technical Skills^LED screen technical,1
"Production^On-set VFX Dept^Hardware Supervisor^Technical Skills^Network specialists, infrastructure",1
Production^On-set VFX Dept^Hardware Supervisor^Technical Skills^Scripting to unified interface,1
Production^On-set VFX Dept^Hardware Supervisor^Technical Skills^LED output,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Creative & Communicative Skills^On- set knowledge: eg; ''how to speak to Camera/AC'',1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Creative & Communicative Skills^Scheduling,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Creative & Communicative Skills^Real-time trouble-shooting,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Creative & Communicative Skills^Problem-solving & adaptability,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Camera tracking,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Trackers set up and calibration,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Performance capture (not in- camera),1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Track MoSys/Unreal metadata,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Multiple workstation/servers,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Virtual camera supervision,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Prep of scenes,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Set calibration,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Video I/O,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Timecode,1
Production^On-set VFX Dept^Technical Director ('Brain Bar TD')^Technical Skills^Gen-Lock Sync,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Creative & Communicative Skills^Appetite for collaboration,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Creative & Communicative Skills^Problem-solving & adaptability,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Creative & Communicative Skills^Real-time trouble-shooting,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Creative & Communicative Skills^Documentation,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^R&D: implementing new workflows,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Wall content oversight,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Visual Effects shots,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Oversee Camera Tracking,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Oversee LED setup,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Set extensions,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Handover to VFX,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Retargeting,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Integration from Unreal,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^CG characters,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Unreal: shading tree,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Unreal: adjusting environments,1
Production^On-set VFX Dept^VP Lead / VP Supervisor (Prod side)^Technical Skills^Customised soft/hardware,1
Production^On-set VFX Dept^VFX Supervisor,1
Production^On-set VFX Dept^DIT^Creative & Communicative Skills^Appetite for collaboration,1
Production^On-set VFX Dept^DIT^Creative & Communicative Skills^Problem-solving & adaptability,1
Production^On-set VFX Dept^DIT^Creative & Communicative Skills^Real-time trouble-shooting,1
Production^On-set VFX Dept^DIT^Creative & Communicative Skills^Documentation,1
Production^On-set VFX Dept^DIT^Technical Skills^Experience handling VFX data,1
Production^On-set VFX Dept^DIT^Technical Skills^Experience handover multilayered projects,1
Production^Editorial Dept^Editorial 1,1
Production^Editorial Dept^Editorial 2 (TD),1
Production^Editorial Dept^Editorial 3,1
Postproduction^Picture Post^Picture Post 1,1
Postproduction^Picture Post^Picture Post 1 (TD),1
Postproduction^Sound Post^Sound Post 1,1
